,ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
49,106057161,14.61,07_16,https://www.immobilienscout24.de/expose/106057161,3.0,2,1,80.0,1169,949,No,Neukölln,"Nogatstraße 46, 12051 Berlin, Neukölln (Neukölln)",KA,KA,sofort,Erdgeschosswohnung,KA,220,in Nebenkosten enthalten,KA,1912,"Keller, WG-geeignet",erforderlich,138 kWh/(m²*a),liegt vor,Bedarfsausweis,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
50,105939335,16.75,07_16,https://www.immobilienscout24.de/expose/105939335,4.5,3,1,97.0,1625,1355,No,Prenzlauer Berg,"Schönhauser Allee 52a, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1 von 4,KA,sofort,Etagenwohnung,KA,270,in Nebenkosten enthalten,KA,1920,"Einbauküche, WG-geeignet",erforderlich,KA,liegt vor,Verbrauchsausweis,D,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
51,106102315,16.34,07_16,https://www.immobilienscout24.de/expose/106102315,3.0,2,2,102.74,1679,1376,No,Prenzlauer Berg,"Saarbrücker Straße 34, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",KA,Neuwertig,sofort,Etagenwohnung,KA,154,49,Gehobene Qualität,2015,"Balkon/ Terrasse, Personenaufzug, Einbauküche, Gäste-WC",SCHUFA-BonitätsCheck anfordern,70 kWh/(m²*a),KA,Bedarfsausweis,KA,KA,1 Garage,KA,KA,KA,KA,Gas
52,105029636,12.44,07_16,https://www.immobilienscout24.de/expose/105029636,3.0,KA,1,73.4,913,719,No,Kreuzberg,"Wilhelmstraße 111, 10963 Berlin, Kreuzberg (Kreuzberg)",0,Gepflegt,KA,Erdgeschosswohnung,KA,141,51,KA,1987,"Balkon/ Terrasse, Personenaufzug",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"130,3 kWh/(m²*a)",KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Öl
53,75797695,17.96,07_16,https://www.immobilienscout24.de/expose/75797695,3.0,2,1,98.0,1760,1600,Yep,Prenzlauer Berg,"Danziger Strasse xx, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",3 von 4,Erstbezug nach Sanierung,1.9.2018,Etagenwohnung,98,160,nicht in Nebenkosten enthalten,Gehobene Qualität,unbekannt,"Balkon/ Terrasse, Keller, Einbauküche",erforderlich,KA,liegt vor,Verbrauchsausweis,C,KA,KA,Nach Vereinbarung,Etagenheizung,KA,zuletzt 2018,Gas
54,105663529,15.94,07_16,https://www.immobilienscout24.de/expose/105663529,4.0,4,1,107.38,1712,1444,Yep,Unknown,10407 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,4 von 4,Vollständig renoviert,Sofort,Etagenwohnung,KA,161,in Nebenkosten enthalten,Gehobene Qualität,1905,"Balkon/ Terrasse, Gäste-WC",SCHUFA-BonitätsCheck anfordern,KA,KA,Verbrauchsausweis,KA,109 kWh/(m²*a),KA,KA,Zentralheizung,KA,zuletzt 2007,Gas
55,105752463,14.92,07_16,https://www.immobilienscout24.de/expose/105752463,3.0,2,1,110.0,1641,1425,No,Unknown,10439 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,4 von 4,Gepflegt,sofort,Etagenwohnung,110,216,nicht in Nebenkosten enthalten,Normale Qualität,1900,"Balkon/ Terrasse, Einbauküche",erforderlich,"151,7 kWh/(m²*a)",liegt vor,Bedarfsausweis,KA,KA,KA,Nach Vereinbarung,Etagenheizung,Geschwindigkeit prüfen,KA,Erdgas leicht
56,106153130,75.45,07_16,https://www.immobilienscout24.de/expose/106153130,4.0,KA,KA,11.0,830,690,No,Mitte,"Wolliner Straße 9, 10437 Berlin, Mitte (Mitte)",KA,Erstbezug,01.08.2018,KA,KA,140,keine Angabe,KA,2018,"Balkon/ Terrasse, Gäste-WC",SCHUFA-BonitätsCheck anfordern,10 kWh/(m²*a),liegt vor,Bedarfsausweis,KA,KA,KA,Nach Vereinbarung,KA,Geschwindigkeit prüfen,KA,KA
57,97800688,20.59,07_16,https://www.immobilienscout24.de/expose/97800688,3.0,2,1,88.48,1822,1471,Yep,Mitte,"Berolinastr. 7, 10178 Berlin, Mitte (Mitte)",7 von 7,Erstbezug,sofort,Etagenwohnung,KA,221,in Nebenkosten enthalten,KA,2017,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",erforderlich,52 kWh/(m²*a),liegt vor,Bedarfsausweis,B,KA,1 Tiefgaragen-Stellplatz,KA,Fernwärme,Geschwindigkeit prüfen,KA,KA
58,104725564,14.85,07_16,https://www.immobilienscout24.de/expose/104725564,4.0,2,1,111.12,1650,1400,Yep,Neukölln,"Delbrückstr. 56/57, 12051 Berlin, Neukölln (Neukölln)",3 von 3,Erstbezug nach Sanierung,Juni 2018,Etagenwohnung,111.12,130,,Gehobene Qualität,1900,Balkon/ Terrasse,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,120 kWh/(m²*a),KA,Nach Vereinbarung,Etagenheizung,Geschwindigkeit prüfen,zuletzt 2018,Gas
